SOC,SOH,Operating conditions,DischargingBattery,Temperature(°C),Initial capacity (Ah),EOL capacity(Ah),Current(A),Cut-off voltage(V)
98,98,Constant current discharge,Yes,25.1,2010,988.4,10.4,3.1
74,93,Constant current discharge,Yes,23.9,1828,912.5,10.1,3.2
67,93,Constant current discharge,Yes,23.6,1880,917.4,9.5,3.2
100,100,Constant current discharge,Yes,25.1,2010,1007.6,10.4,3.1
79,98,Constant current discharge,Yes,24.6,2008,994.2,10,3.2
99,99,Constant current discharge,Yes,25.3,2010,966.5,10.4,3.1
98,98,Constant current discharge,Yes,24.1,1983,912.7,10.2,3.2
69,93,Constant current discharge,Yes,23.6,1853,917,9.9,3.2
89,95,Constant current discharge,Yes,24,1866,988.3,10.2,3.2
62,91,Constant current discharge,Yes,23.6,1840,918.6,9.9,3.2
70,93,Constant current discharge,Yes,23.5,1817,912.5,9.6,3.2
80,98,Constant current discharge,Yes,24.4,1941,980.6,10.1,3.2
60,98,Constant current discharge,Yes,24.7,2010,1001.6,9.9,3.2
73,92,Constant current discharge,Yes,24.2,1872,912.5,9.6,3.2
63,91,Constant current discharge,Yes,23.5,1846,921.5,9.6,3.2
93,99,Constant current discharge,Yes,25.1,2010,985.2,10.2,3.2
63,94,Constant current discharge,Yes,23.5,1854,912.5,9.6,3.2
92,93,Constant current discharge,Yes,23.7,1987,912.5,10.1,3.2
60,92,Constant current discharge,Yes,23.5,1844,912.5,9.8,3.2
93,98,Constant current discharge,Yes,23.9,1858,923.3,10,3.2
65,98,Constant current discharge,Yes,23.9,1826,925.3,9.9,3.2
69,92,Constant current discharge,Yes,23.7,1868,922.9,10.2,3.2
99,97,Constant current discharge,Yes,25.1,2010,1002.4,10.4,3.1
97,99,Constant current discharge,Yes,24.6,2010,976,10.1,3.1
95,98,Constant current discharge,Yes,24.6,1979,968.2,10.4,3.1
94,99,Constant current discharge,Yes,25.1,1990,964.8,10.4,3.1
100,100,Constant current discharge,Yes,25.1,2010,1011.2,10.4,3.1
61,94,Constant current discharge,Yes,23.5,1801,912.5,9.4,3.2
74,93,Constant current discharge,Yes,23.8,1827,912.5,9.5,3.2
65,93,Constant current discharge,Yes,23.6,1873,915.1,9.4,3.2
68,91,Constant current discharge,Yes,23.5,1810,912.5,9.6,3.2
57,93,Constant current discharge,Yes,23.6,1846,986.5,9.6,3.2
69,100,Constant current discharge,Yes,24.4,2010,960.4,9.7,3.1
72,95,Constant current discharge,Yes,23.5,1817,912.5,10.1,3.2
100,100,Constant current discharge,Yes,24.7,1998,1021.4,10,3.1
55,93,Constant current discharge,Yes,23.8,1839,927.4,9.6,3.2
59,92,Constant current discharge,Yes,23.5,1873,912.5,9.5,3.2
55,92,Constant current discharge,Yes,23.6,1850,912.5,9.5,3.2
66,94,Constant current discharge,Yes,23.5,1843,912.5,9.7,3.2
69,94,Constant current discharge,Yes,23.5,1840,912.5,9.7,3.2
93,100,Constant current discharge,Yes,24.6,2004,984.5,9.7,3.2
87,98,Constant current discharge,Yes,24.4,1947,951.3,10.1,3.2
55,92,Constant current discharge,Yes,23.5,1869,912.5,10,3.2
91,99,Constant current discharge,Yes,24.9,2000,972.2,10.2,3.2
60,92,Constant current discharge,Yes,23.5,1853,920.4,9.5,3.2
62,93,Constant current discharge,Yes,23.5,1815,912.5,9.5,3.2
56,94,Constant current discharge,Yes,23.7,1865,912.5,9.7,3.2
93,94,Constant current discharge,Yes,24.6,1870,971.3,9.9,3.2
62,93,Constant current discharge,Yes,23.9,1825,912.5,10.2,3.2
100,100,Constant current discharge,Yes,25.3,2010,1000.1,10.4,3.1
91,93,Constant current discharge,Yes,23.6,1946,978.8,10.3,3.2
67,92,Constant current discharge,Yes,23.5,1819,922.4,10.2,3.2
97,100,Constant current discharge,Yes,25,1963,982.7,10.3,3.2
100,98,Constant current discharge,Yes,25.2,1996,960.5,10.4,3.1
72,93,Constant current discharge,Yes,23.6,1818,912.5,9.6,3.2
69,100,Constant current discharge,Yes,23.8,1942,970.5,9.8,3.2
96,92,Constant current discharge,Yes,25.2,1981,931.2,10,3.2
72,93,Constant current discharge,Yes,23.5,1814,912.5,9.6,3.2
64,92,Constant current discharge,Yes,23.6,1838,912.5,9.6,3.2
69,93,Constant current discharge,Yes,24.2,1948,998.8,9.9,3.1
81,99,Constant current discharge,Yes,23.8,2010,981.5,10.4,3.1
96,100,Constant current discharge,Yes,24.8,2004,923.9,10,3.2
68,95,Constant current discharge,Yes,23.6,1848,912.5,9.6,3.2
100,100,Constant current discharge,Yes,25.3,2010,1009,10.4,3.1
57,91,Constant current discharge,Yes,23.6,1859,912.5,9.7,3.2
74,93,Constant current discharge,Yes,23.7,1846,937.9,9.9,3.2
92,98,Constant current discharge,Yes,24.9,2010,962.3,9.8,3.2
70,95,Constant current discharge,Yes,23.5,1889,912.5,9.5,3.2
94,100,Constant current discharge,Yes,24.9,2010,988.8,10.1,3.1
96,99,Constant current discharge,Yes,25.2,2010,979.4,10.4,3.1
61,92,Constant current discharge,Yes,23.6,1840,912.5,9.6,3.2
93,100,Constant current discharge,Yes,25.1,2010,993.4,10.4,3.1
69,96,Constant current discharge,Yes,23.9,1842,912.5,10.1,3.2
68,95,Constant current discharge,Yes,23.5,1877,912.5,9.8,3.2
64,95,Constant current discharge,Yes,24.2,1886,912.5,9.6,3.2
100,99,Constant current discharge,Yes,25.1,2010,991.4,10.4,3.1
97,93,Constant current discharge,Yes,23.6,2010,971.2,10.3,3.2
63,93,Constant current discharge,Yes,23.8,1829,912.5,10,3.2
64,92,Constant current discharge,Yes,23.5,1828,912.5,9.8,3.2
99,99,Constant current discharge,Yes,25.3,2010,981.9,10.2,3.1
67,94,Constant current discharge,Yes,24,1844,924.6,9.9,3.2
66,92,Constant current discharge,Yes,23.5,1872,912.5,9.5,3.2
66,97,Constant current discharge,Yes,25,1977,975.1,10.4,3.1
71,93,Constant current discharge,Yes,23.5,1813,912.5,9.4,3.2
100,100,Constant current discharge,Yes,24.8,2010,991.8,10.3,3.1
65,92,Constant current discharge,Yes,23.5,1784,923.7,9.6,3.2
97,99,Constant current discharge,Yes,24.8,2010,971,10.1,3.1
100,98,Constant current discharge,Yes,25.2,2010,1002.3,10.3,3.1
93,99,Constant current discharge,Yes,24.1,2010,912.5,10.2,3.2
100,98,Constant current discharge,Yes,24.8,1950,919.1,10.2,3.1
64,93,Constant current discharge,Yes,23.7,1856,912.5,9.7,3.2
89,98,Constant current discharge,Yes,24.9,1941,1011.9,10.1,3.2
89,98,Constant current discharge,Yes,25.1,2010,994,10.4,3.2
67,93,Constant current discharge,Yes,23.8,1839,912.5,9.8,3.2
65,96,Constant current discharge,Yes,24.8,1857,919.4,10.4,3.2
77,93,Constant current discharge,Yes,24.1,1853,925.7,10.3,3.2
83,97,Constant current discharge,Yes,24.9,2010,985.1,10.1,3.2
100,99,Constant current discharge,Yes,25.3,2010,1009.5,10.4,3.1
71,92,Constant current discharge,Yes,24.1,1889,912.5,9.4,3.2
100,100,Constant current discharge,Yes,24.9,2002,980.7,10.4,3.2
62,95,Constant current discharge,Yes,23.5,1819,912.5,9.6,3.2
93,99,Constant current discharge,Yes,24.8,2010,981.5,10.2,3.2
85,99,Constant current discharge,Yes,24.7,1979,988.8,10.2,3.2
79,99,Constant current discharge,Yes,24.1,1982,913.5,9.9,3.2
68,99,Constant current discharge,Yes,24.6,1997,994.8,10.2,3.2
92,99,Constant current discharge,Yes,23.8,1899,941.1,9.7,3.2
93,98,Constant current discharge,Yes,25.2,2010,969,10.2,3.1
64,92,Constant current discharge,Yes,23.9,1971,912.5,9.5,3.2
62,94,Constant current discharge,Yes,23.5,1824,912.5,9.5,3.2
100,100,Constant current discharge,Yes,24.9,2010,983.4,10.4,3.1
61,93,Constant current discharge,Yes,23.5,1832,912.5,9.7,3.2
68,93,Constant current discharge,Yes,23.5,1885,915.1,9.6,3.2
63,93,Constant current discharge,Yes,23.7,1775,925,9.8,3.2
79,93,Constant current discharge,Yes,23.8,1838,930.3,9.6,3.2
97,99,Constant current discharge,Yes,24.7,2010,985,10.4,3.2
96,97,Constant current discharge,Yes,24.8,2010,987,9.9,3.2
86,100,Constant current discharge,Yes,24.7,2010,979.5,10.4,3.2
68,95,Constant current discharge,Yes,24,1854,912.5,9.4,3.2
64,92,Constant current discharge,Yes,24,1831,923.6,9.5,3.2
95,100,Constant current discharge,Yes,25.2,1993,984.8,10.2,3.1
82,98,Constant current discharge,Yes,24.5,1988,984.5,10.1,3.2
66,94,Constant current discharge,Yes,23.9,1848,912.6,9.7,3.2
63,92,Constant current discharge,Yes,23.5,1778,920.8,9.5,3.2
61,93,Constant current discharge,Yes,23.8,1814,912.5,9.5,3.2
69,97,Constant current discharge,Yes,24,1949,930.7,9.9,3.2
90,94,Constant current discharge,Yes,24.9,2010,990.9,10.3,3.1
97,99,Constant current discharge,Yes,24.8,2010,997,10.4,3.1
94,94,Constant current discharge,Yes,23.7,1994,912.5,10.1,3.2
65,91,Constant current discharge,Yes,23.5,1840,912.5,9.6,3.2
71,92,Constant current discharge,Yes,23.6,1863,922,9.5,3.2
95,98,Constant current discharge,Yes,25,2010,983,10.4,3.2
62,93,Constant current discharge,Yes,23.5,1875,912.5,9.8,3.2
100,99,Constant current discharge,Yes,25,2010,993.3,10.4,3.1
67,94,Constant current discharge,Yes,23.5,1830,912.5,9.7,3.2
92,100,Constant current discharge,Yes,24.9,2010,1000.5,9.9,3.1
62,93,Constant current discharge,Yes,23.7,1876,915.1,9.7,3.2
65,94,Constant current discharge,Yes,24.1,1881,921.1,10.1,3.2
63,94,Constant current discharge,Yes,24,1863,920.3,10,3.2
71,93,Constant current discharge,Yes,23.6,1844,917,10.2,3.2
90,99,Constant current discharge,Yes,25.1,2010,962.5,10.4,3.1
85,99,Constant current discharge,Yes,25,2010,992,10.4,3.2
88,98,Constant current discharge,Yes,23.7,1997,952.2,10.2,3.2
86,99,Constant current discharge,Yes,24.1,2010,929.2,10.2,3.2
97,98,Constant current discharge,Yes,25,1982,974.5,9.9,3.1
70,93,Constant current discharge,Yes,23.8,1884,912.5,9.6,3.2
55,93,Constant current discharge,Yes,23.5,1860,923.7,9.7,3.2
91,96,Constant current discharge,Yes,23.9,1984,924,9.6,3.2
96,92,Constant current discharge,Yes,23.9,1877,969.2,9.7,3.2
85,97,Constant current discharge,Yes,23.9,1902,993.8,10.2,3.2
81,95,Constant current discharge,Yes,24.8,2010,939.4,10,3.1
99,91,Constant current discharge,Yes,23.8,1981,970.2,10.4,3.2
68,92,Constant current discharge,Yes,23.6,1862,912.5,9.6,3.2
95,99,Constant current discharge,Yes,24.6,2010,1000.7,10.3,3.1
56,92,Constant current discharge,Yes,23.5,1905,916.2,9.8,3.2
67,93,Constant current discharge,Yes,23.5,1826,912.5,9.7,3.2
96,99,Constant current discharge,Yes,25.3,2005,991.6,10.2,3.1
92,99,Constant current discharge,Yes,25,2010,993.2,10.2,3.1
73,93,Constant current discharge,Yes,24,1988,913,10.1,3.2
57,93,Constant current discharge,Yes,23.5,1828,912.5,9.5,3.2
64,94,Constant current discharge,Yes,23.7,1854,912.5,10.1,3.2
55,94,Constant current discharge,Yes,23.5,1868,912.5,9.7,3.2
98,97,Constant current discharge,Yes,25,1996,975.4,10.1,3.2
74,95,Constant current discharge,Yes,23.9,1857,921.6,9.6,3.2
83,98,Constant current discharge,Yes,24.7,2010,961,10.4,3.2
100,97,Constant current discharge,Yes,24.1,1931,912.5,10,3.2
73,91,Constant current discharge,Yes,23.5,1824,916.4,9.7,3.2
85,98,Constant current discharge,Yes,25,1936,968.2,10.2,3.1
100,100,Constant current discharge,Yes,25.3,2010,1025,10.4,3.1
100,99,Constant current discharge,Yes,25.3,2010,999.8,10.3,3.2
100,100,Constant current discharge,Yes,24.8,2010,987.9,10.4,3.1
60,93,Constant current discharge,Yes,23.9,1816,912.5,9.5,3.2
76,98,Constant current discharge,Yes,24.9,1829,975,10.2,3.2
68,93,Constant current discharge,Yes,23.6,1830,912.5,9.5,3.2
71,97,Constant current discharge,Yes,23.6,2010,969,10.1,3.2
62,91,Constant current discharge,Yes,23.7,1891,913.7,10,3.2
98,99,Constant current discharge,Yes,24.9,1961,989,10.1,3.1
66,93,Constant current discharge,Yes,23.9,1953,912.5,9.6,3.2
100,97,Constant current discharge,Yes,24.7,2010,982.9,9.9,3.2
67,92,Constant current discharge,Yes,23.9,1889,912.5,10.1,3.2
84,98,Constant current discharge,Yes,24.7,1994,982,10.1,3.2
73,94,Constant current discharge,Yes,24,1841,912.5,9.7,3.2
100,98,Constant current discharge,Yes,24.9,2010,1006.7,10.4,3.1
93,94,Constant current discharge,Yes,24.7,1952,971.6,9.9,3.2
58,97,Constant current discharge,Yes,24.6,1831,934.6,10.2,3.2
93,100,Constant current discharge,Yes,24.9,1980,985.8,10,3.2
96,100,Constant current discharge,Yes,24.4,2010,960.2,10.4,3.1
100,100,Constant current discharge,Yes,25.3,2010,991.8,10.4,3.1
100,100,Constant current discharge,Yes,25.1,2010,989.2,10.4,3.1
95,97,Constant current discharge,Yes,25,1993,945.4,10,3.2
71,99,Constant current discharge,Yes,24,1865,917.2,9.7,3.2
67,93,Constant current discharge,Yes,23.6,1852,912.5,9.8,3.2
100,97,Constant current discharge,Yes,24.7,1975,993.5,10.2,3.1
100,97,Constant current discharge,Yes,24.1,2010,925.6,10,3.2
65,93,Constant current discharge,Yes,23.5,1907,926.3,9.6,3.2
72,94,Constant current discharge,Yes,24.2,1860,976.3,10,3.2
66,94,Constant current discharge,Yes,24.8,1840,920.6,9.7,3.2
87,99,Constant current discharge,Yes,25,2007,984.9,10.3,3.2
69,94,Constant current discharge,Yes,23.5,1884,936.8,9.6,3.2
94,100,Constant current discharge,Yes,25,2010,988.4,10.4,3.1
75,94,Constant current discharge,Yes,23.5,1849,912.5,9.5,3.2
95,99,Constant current discharge,Yes,25.3,2010,975.1,10.4,3.2
100,100,Constant current discharge,Yes,25.1,2010,970.3,10.2,3.1
99,98,Constant current discharge,Yes,24.9,1947,985.9,10.3,3.1
71,98,Constant current discharge,Yes,24.1,1809,912.5,9.8,3.2
88,98,Constant current discharge,Yes,25.1,1976,990.7,10,3.2
62,93,Constant current discharge,Yes,24,1856,919.3,9.6,3.2
100,99,Constant current discharge,Yes,23.9,1967,952.6,10.1,3.2
58,92,Constant current discharge,Yes,23.5,1814,912.5,9.7,3.2
65,98,Constant current discharge,Yes,23.7,1927,914.9,10.1,3.2
59,94,Constant current discharge,Yes,23.5,1862,917.5,9.7,3.2
63,92,Constant current discharge,Yes,23.5,1812,912.5,9.7,3.2
73,95,Constant current discharge,Yes,23.6,1869,912.5,9.6,3.2
81,100,Constant current discharge,Yes,24.5,2008,984.9,10.3,3.1
82,98,Constant current discharge,Yes,23.9,2010,989.7,9.8,3.2
60,100,Constant current discharge,Yes,24.2,1888,927.2,10.3,3.2
98,99,Constant current discharge,Yes,25.2,2010,996.1,10.4,3.1
98,99,Constant current discharge,Yes,25.2,2010,996.8,10.4,3.1
63,93,Constant current discharge,Yes,23.7,1815,922.4,10.3,3.2
92,98,Constant current discharge,Yes,24.9,1980,994.2,10.3,3.1
63,92,Constant current discharge,Yes,23.6,1809,920.8,9.7,3.2
85,96,Constant current discharge,Yes,24,1978,912.6,10.1,3.2
100,98,Constant current discharge,Yes,24,2010,1011.1,9.6,3.1
63,91,Constant current discharge,Yes,23.7,1851,912.5,9.8,3.2
76,92,Constant current discharge,Yes,24,2010,919.1,10,3.2
88,91,Constant current discharge,Yes,25,1843,956.4,10,3.2
61,93,Constant current discharge,Yes,23.8,1888,945.8,9.8,3.2
100,100,Constant current discharge,Yes,25,2010,1008.7,10.4,3.1
97,100,Constant current discharge,Yes,25.2,2010,974,10.4,3.2
65,93,Constant current discharge,Yes,24,1862,912.5,10,3.2
96,99,Constant current discharge,Yes,24.8,1952,991.3,10.1,3.1
77,92,Constant current discharge,Yes,24.3,2007,912.5,10.3,3.1
88,97,Constant current discharge,Yes,25.1,2010,961.2,10.4,3.1
100,99,Constant current discharge,Yes,25.3,2010,982.2,10.4,3.2
100,100,Constant current discharge,Yes,25.3,2010,999,10.4,3.1
68,93,Constant current discharge,Yes,23.5,1882,912.5,9.6,3.2
86,98,Constant current discharge,Yes,23.6,1859,956.6,10.4,3.2
67,93,Constant current discharge,Yes,23.6,1854,924,10.1,3.2
62,92,Constant current discharge,Yes,23.5,1861,912.5,9.6,3.2
69,92,Constant current discharge,Yes,23.5,1873,912.5,9.7,3.2
69,93,Constant current discharge,Yes,23.8,1840,917.7,9.5,3.2
89,98,Constant current discharge,Yes,25,2010,1000.9,10.3,3.2
64,93,Constant current discharge,Yes,24.1,1878,912.5,9.7,3.2
100,100,Constant current discharge,Yes,24.9,2010,975.5,10.3,3.2
100,99,Constant current discharge,Yes,24.7,2004,975.2,10.3,3.1
82,98,Constant current discharge,Yes,24.8,1896,975.6,10.2,3.2
67,93,Constant current discharge,Yes,23.7,1894,916.9,9.8,3.2
71,98,Constant current discharge,Yes,23.9,1918,953.7,10.3,3.2
65,91,Constant current discharge,Yes,23.5,1898,912.5,9.7,3.2
94,94,Constant current discharge,Yes,23.9,2010,945.7,10,3.2
57,97,Constant current discharge,Yes,23.9,1839,912.5,9.5,3.2
72,93,Constant current discharge,Yes,23.5,1802,912.5,9.8,3.2
94,98,Constant current discharge,Yes,25.1,2010,993.3,10.1,3.1
90,100,Constant current discharge,Yes,24.8,2010,982.9,10,3.2
62,94,Constant current discharge,Yes,23.9,1883,928.6,9.9,3.2
65,93,Constant current discharge,Yes,23.6,1833,944,9.4,3.2
71,98,Constant current discharge,Yes,23.8,1956,922.9,10.1,3.2
55,91,Constant current discharge,Yes,23.6,1882,912.5,9.6,3.2
77,94,Constant current discharge,Yes,23.5,1828,935.9,9.5,3.2
65,92,Constant current discharge,Yes,24,1840,931.7,10.3,3.2
89,98,Constant current discharge,Yes,25.2,1986,989.9,10.2,3.1
62,93,Constant current discharge,Yes,23.8,1853,912.5,10.2,3.2
100,100,Constant current discharge,Yes,25.3,2010,999.8,10.4,3.1
100,99,Constant current discharge,Yes,25.3,2005,992.5,10.3,3.1
100,98,Constant current discharge,Yes,24.9,1940,970.4,10.1,3.2
91,99,Constant current discharge,Yes,23.9,1941,983.2,10,3.2
84,97,Constant current discharge,Yes,25,2010,1000.6,10.4,3.1
69,93,Constant current discharge,Yes,24.9,1847,978.8,10.1,3.2
100,100,Constant current discharge,Yes,25.3,2010,985.1,10.3,3.1
96,98,Constant current discharge,Yes,24.7,1966,977.2,10.2,3.2
100,100,Constant current discharge,Yes,25.3,2010,1024.2,10.4,3.1
98,98,Constant current discharge,Yes,25.3,2010,1007.4,10.3,3.1
72,92,Constant current discharge,Yes,23.5,1848,914.4,9.7,3.2
90,94,Constant current discharge,Yes,23.8,1818,933.4,10.1,3.2
96,100,Constant current discharge,Yes,25.3,2010,1001.1,10.3,3.1
67,92,Constant current discharge,Yes,23.9,1842,912.5,10,3.2
71,94,Constant current discharge,Yes,23.5,1831,912.5,9.8,3.2
100,99,Constant current discharge,Yes,25.2,2010,994,10.4,3.1
63,94,Constant current discharge,Yes,23.5,1856,912.5,9.6,3.2
72,91,Constant current discharge,Yes,23.8,1880,912.5,9.5,3.2
98,100,Constant current discharge,Yes,25,2010,956.7,10.2,3.1
68,93,Constant current discharge,Yes,23.5,1854,925.2,9.6,3.2
75,94,Constant current discharge,Yes,24,1979,912.5,9.6,3.2
95,99,Constant current discharge,Yes,24.8,2010,979.3,10.1,3.2
55,93,Constant current discharge,Yes,23.8,1788,915.9,9.8,3.2
98,98,Constant current discharge,Yes,24.9,2010,953.8,10.3,3.2
66,93,Constant current discharge,Yes,23.7,1852,912.5,9.6,3.2
98,99,Constant current discharge,Yes,24.9,2010,987.9,10.3,3.1
55,91,Constant current discharge,Yes,23.5,1881,912.5,9.8,3.2
90,92,Constant current discharge,Yes,23.9,2010,991.1,9.9,3.2
100,100,Constant current discharge,Yes,24.8,2008,980.9,10.1,3.1
94,100,Constant current discharge,Yes,25.2,1982,972.6,10.3,3.1
62,93,Constant current discharge,Yes,24,1881,912.5,9.8,3.2
68,93,Constant current discharge,Yes,23.6,1814,956.6,9.5,3.2
64,93,Constant current discharge,Yes,24,1882,917.4,9.4,3.2
69,92,Constant current discharge,Yes,25.3,1880,916.8,10.3,3.2
63,93,Constant current discharge,Yes,23.5,1864,920,9.9,3.2
67,97,Constant current discharge,Yes,24.8,2010,960.3,10.3,3.2
60,93,Constant current discharge,Yes,23.8,1966,912.5,10.1,3.2
100,98,Constant current discharge,Yes,24.9,2010,1009.2,10.3,3.1
68,94,Constant current discharge,Yes,23.5,1858,912.5,9.8,3.2
90,99,Constant current discharge,Yes,24.8,2010,998.5,10.4,3.1
72,94,Constant current discharge,Yes,23.8,1820,1011,10.1,3.2
98,100,Constant current discharge,Yes,25.1,2010,997.1,10.4,3.1
100,100,Constant current discharge,Yes,25.3,2010,986.2,10.2,3.1
89,99,Constant current discharge,Yes,23.9,2003,989.1,10.1,3.1
68,98,Constant current discharge,Yes,23.6,1823,945.8,9.8,3.2
99,100,Constant current discharge,Yes,24.1,1958,1005.4,10.4,3.2
67,93,Constant current discharge,Yes,23.7,2007,916.7,9.9,3.2
63,94,Constant current discharge,Yes,23.5,1842,912.5,9.8,3.2
92,100,Constant current discharge,Yes,24.9,2010,997.6,10.3,3.1
92,98,Constant current discharge,Yes,24.7,2000,976.2,10.3,3.2
69,98,Constant current discharge,Yes,24.1,2005,912.9,9.9,3.2
79,99,Constant current discharge,Yes,23.9,2010,925.4,10.1,3.2
100,100,Constant current discharge,Yes,24.8,1976,954.4,10.3,3.1
68,93,Constant current discharge,Yes,23.5,1840,928.2,9.5,3.2
96,98,Constant current discharge,Yes,25.1,1980,926.7,10.2,3.2
96,99,Constant current discharge,Yes,25.1,1982,997.5,10.3,3.2
92,99,Constant current discharge,Yes,24.9,2010,990.7,10.4,3.1
64,92,Constant current discharge,Yes,23.6,1803,912.5,9.8,3.2
100,100,Constant current discharge,Yes,25,2010,1001,10.3,3.1
71,98,Constant current discharge,Yes,24,1864,912.7,10.2,3.2
100,99,Constant current discharge,Yes,25.2,2010,1008.4,10.4,3.1
67,93,Constant current discharge,Yes,23.8,1823,918.3,9.7,3.2
67,92,Constant current discharge,Yes,23.9,1793,923.7,9.8,3.2
55,94,Constant current discharge,Yes,23.7,1860,912.5,9.7,3.2
59,92,Constant current discharge,Yes,23.5,1857,912.5,9.6,3.2
67,95,Constant current discharge,Yes,23.8,1863,912.5,9.6,3.2
72,93,Constant current discharge,Yes,23.6,1893,912.5,9.4,3.2
87,99,Constant current discharge,Yes,24.5,1961,913,10.1,3.2
82,91,Constant current discharge,Yes,24,1955,925.7,10.2,3.2
57,91,Constant current discharge,Yes,23.5,1813,912.5,9.5,3.2
100,100,Constant current discharge,Yes,25.1,2010,996.5,10.4,3.1
57,92,Constant current discharge,Yes,23.5,1886,912.5,9.7,3.2
63,91,Constant current discharge,Yes,23.9,1902,912.5,9.4,3.2
98,99,Constant current discharge,Yes,23.5,1882,972.2,10.2,3.2
88,97,Constant current discharge,Yes,25,1981,1001.9,10.1,3.2
63,94,Constant current discharge,Yes,23.9,1863,935,9.9,3.2
96,99,Constant current discharge,Yes,25,2010,989.5,10.2,3.1
97,99,Constant current discharge,Yes,25.3,2010,986.3,10.4,3.1
100,100,Constant current discharge,Yes,25.1,2010,990.9,10.4,3.1
100,100,Constant current discharge,Yes,25.2,2010,991.2,10.4,3.1
72,93,Constant current discharge,Yes,23.5,1905,912.5,9.5,3.2
58,93,Constant current discharge,Yes,23.7,1819,912.5,9.5,3.2
97,95,Constant current discharge,Yes,24.9,2010,980.8,10.3,3.1
100,100,Constant current discharge,Yes,24.9,2010,1006.7,10.3,3.1
96,99,Constant current discharge,Yes,25,1929,994.2,10.3,3.2
89,98,Constant current discharge,Yes,24.8,2002,976.9,10.2,3.2
72,94,Constant current discharge,Yes,23.5,1845,917.8,9.7,3.2
92,99,Constant current discharge,Yes,24.9,1992,970.6,10.4,3.1
98,100,Constant current discharge,Yes,24.9,2010,1001.2,10.3,3.1
60,97,Constant current discharge,Yes,23.9,2004,912.5,9.8,3.2
90,99,Constant current discharge,Yes,24.8,1994,985.2,10.1,3.2
62,93,Constant current discharge,Yes,23.8,1854,913.9,9.6,3.2
68,93,Constant current discharge,Yes,23.5,1880,912.5,9.5,3.2
94,99,Constant current discharge,Yes,25,2010,982.5,10.4,3.1
71,97,Constant current discharge,Yes,23.7,1897,922.8,10,3.2
100,99,Constant current discharge,Yes,24.4,1964,995.9,10.3,3.1
100,99,Constant current discharge,Yes,25,2003,1000.1,10.3,3.1
71,99,Constant current discharge,Yes,23.7,2010,993.9,10.1,3.2
67,95,Constant current discharge,Yes,24.1,1902,933.3,10.1,3.2
95,97,Constant current discharge,Yes,25,2008,991,10.3,3.1
72,94,Constant current discharge,Yes,23.5,1868,912.5,9.7,3.2
70,93,Constant current discharge,Yes,23.8,1862,938,10.2,3.2
61,93,Constant current discharge,Yes,23.7,1871,923.2,9.6,3.2
92,99,Constant current discharge,Yes,25.3,2010,988,10.1,3.1
61,94,Constant current discharge,Yes,23.7,1815,921.8,9.9,3.2
94,93,Constant current discharge,Yes,24.6,2010,916.9,10.2,3.1
93,97,Constant current discharge,Yes,25,1852,919.4,10.3,3.2
66,93,Constant current discharge,Yes,23.8,1850,922,9.6,3.2
79,100,Constant current discharge,Yes,24.7,1988,962.9,10.1,3.1
79,95,Constant current discharge,Yes,23.9,1895,933.5,9.9,3.2
91,100,Constant current discharge,Yes,24.9,2000,962.6,10,3.1
96,100,Constant current discharge,Yes,24.9,2010,980.8,10.3,3.1
100,100,Constant current discharge,Yes,25,2010,957.9,10.1,3.1
100,100,Constant current discharge,Yes,25.3,2010,999.6,10.4,3.1
63,93,Constant current discharge,Yes,23.5,1855,912.5,9.5,3.2
59,92,Constant current discharge,Yes,23.5,1862,914.6,9.5,3.2
59,93,Constant current discharge,Yes,23.8,1875,912.5,10.2,3.2
100,100,Constant current discharge,Yes,25.2,2010,1009.3,10.4,3.1
87,97,Constant current discharge,Yes,23.5,2001,982,9.9,3.2
59,92,Constant current discharge,Yes,23.7,1851,912.5,9.7,3.2
100,100,Constant current discharge,Yes,25.2,2010,994.7,10.4,3.1
65,92,Constant current discharge,Yes,24,1902,932.4,9.6,3.2
99,100,Constant current discharge,Yes,25.2,2010,1011.8,10.3,3.1
84,98,Constant current discharge,Yes,24.8,2010,977.2,10.3,3.2
91,98,Constant current discharge,Yes,25.1,2010,968.1,10.1,3.1
70,93,Constant current discharge,Yes,23.5,1871,912.5,9.7,3.2
86,92,Constant current discharge,Yes,23.5,1866,917.8,9.7,3.2
76,91,Constant current discharge,Yes,23.8,1982,922.9,9.6,3.2
62,93,Constant current discharge,Yes,23.5,1852,912.5,9.8,3.2
67,93,Constant current discharge,Yes,23.5,1824,912.5,9.6,3.2
95,98,Constant current discharge,Yes,24.7,1986,974.3,10,3.2
92,92,Constant current discharge,Yes,24,1891,927,9.7,3.2
95,92,Constant current discharge,Yes,23.5,1826,912.5,10.1,3.2
72,93,Constant current discharge,Yes,23.6,1842,913.7,9.7,3.2
90,97,Constant current discharge,Yes,24.9,2009,983.2,10.1,3.2
60,93,Constant current discharge,Yes,23.6,1847,914.5,9.9,3.2
78,94,Constant current discharge,Yes,23.8,1820,912.5,10.2,3.2
100,98,Constant current discharge,Yes,25.1,2003,958.2,10.4,3.1
90,99,Constant current discharge,Yes,24.7,2004,1025,10.3,3.2
76,93,Constant current discharge,Yes,23.7,1883,917.2,9.8,3.2
94,93,Constant current discharge,Yes,23.8,1987,933.9,10.3,3.2
71,97,Constant current discharge,Yes,23.8,1846,912.5,9.9,3.2
